item,category,price,unit_cost,elasticity
Drip Coffee,Coffee,3.25,0.55,-0.6
Latte,Coffee,4.75,1.1,-0.9
Cappuccino,Coffee,4.5,1.05,-0.9
Cold Brew,Coffee,4.95,1.2,-1.1
Espresso Shot,Coffee,2.75,0.45,-0.5
Matcha Latte,Tea,5.25,1.6,-1.3
Chai Latte,Tea,4.95,1.15,-1.0
Iced Tea,Tea,3.5,0.5,-0.8
Croissant,Pastry,3.75,1.1,-1.2
Blueberry Muffin,Pastry,3.95,1.0,-1.4
Avocado Toast,Food,8.5,2.6,-1.6
Breakfast Sandwich,Food,7.25,2.4,-1.1
Bagel & Cream Cheese,Food,4.5,1.3,-1.3
Granola Bowl,Food,6.75,1.9,-1.7
Bottled Water,Other,2.25,0.35,-0.4
