date,item,category,price,unit_cost,units_sold,day_of_week
2025-01-01,Drip Coffee,Coffee,3.25,0.55,84,Wednesday
2025-01-01,Latte,Coffee,4.75,1.1,69,Wednesday
2025-01-01,Cappuccino,Coffee,4.5,1.05,39,Wednesday
2025-01-01,Cold Brew,Coffee,4.95,1.2,60,Wednesday
2025-01-01,Espresso Shot,Coffee,2.75,0.45,25,Wednesday
2025-01-01,Matcha Latte,Tea,5.25,1.6,25,Wednesday
2025-01-01,Chai Latte,Tea,4.95,1.15,29,Wednesday
2025-01-01,Iced Tea,Tea,3.5,0.5,19,Wednesday
2025-01-01,Croissant,Pastry,3.75,1.1,34,Wednesday
2025-01-01,Blueberry Muffin,Pastry,3.95,1.0,30,Wednesday
2025-01-01,Avocado Toast,Food,8.5,2.6,23,Wednesday
2025-01-01,Breakfast Sandwich,Food,7.25,2.4,43,Wednesday
2025-01-01,Bagel & Cream Cheese,Food,4.5,1.3,28,Wednesday
2025-01-01,Granola Bowl,Food,6.75,1.9,14,Wednesday
2025-01-01,Bottled Water,Other,2.25,0.35,16,Wednesday
2025-01-02,Drip Coffee,Coffee,3.25,0.55,78,Thursday
2025-01-02,Latte,Coffee,4.75,1.1,76,Thursday
2025-01-02,Cappuccino,Coffee,4.5,1.05,49,Thursday
2025-01-02,Cold Brew,Coffee,4.95,1.2,58,Thursday
2025-01-02,Espresso Shot,Coffee,2.75,0.45,26,Thursday
2025-01-02,Matcha Latte,Tea,5.25,1.6,34,Thursday
2025-01-02,Chai Latte,Tea,4.95,1.15,24,Thursday
2025-01-02,Iced Tea,Tea,3.5,0.5,20,Thursday
2025-01-02,Croissant,Pastry,3.75,1.1,39,Thursday
2025-01-02,Blueberry Muffin,Pastry,3.95,1.0,35,Thursday
2025-01-02,Avocado Toast,Food,8.5,2.6,22,Thursday
2025-01-02,Breakfast Sandwich,Food,7.25,2.4,42,Thursday
2025-01-02,Bagel & Cream Cheese,Food,4.5,1.3,28,Thursday
2025-01-02,Granola Bowl,Food,6.75,1.9,16,Thursday
2025-01-02,Bottled Water,Other,2.25,0.35,16,Thursday
2025-01-03,Drip Coffee,Coffee,3.25,0.55,104,Friday
2025-01-03,Latte,Coffee,4.75,1.1,66,Friday
2025-01-03,Cappuccino,Coffee,4.5,1.05,32,Friday
2025-01-03,Cold Brew,Coffee,4.95,1.2,59,Friday
2025-01-03,Espresso Shot,Coffee,2.75,0.45,26,Friday
2025-01-03,Matcha Latte,Tea,5.25,1.6,38,Friday
2025-01-03,Chai Latte,Tea,4.95,1.15,35,Friday
2025-01-03,Iced Tea,Tea,3.5,0.5,20,Friday
2025-01-03,Croissant,Pastry,3.75,1.1,44,Friday
